"technology_node","yield","er_z_score","dr_z_score","cd_z_score","ot_z_score","spc_status"
"22nm",0.375,0.173,-0.062,0.019,-0.738,Normal
"22nm",0.436,-0.275,0.910,1.054,0.142,Normal
"22nm",0.610,-0.774,0.184,-1.196,-0.387,Normal
"22nm",0.216,-1.422,0.295,-0.113,-0.495,Normal
"22nm",0.279,-0.998,1.245,1.364,-0.589,Normal
"22nm",0.324,0.459,1.802,-1.326,1.492,Normal
"22nm",0.292,-0.752,0.336,-0.795,1.078,Normal
"22nm",0.248,-0.069,1.122,0.736,-1.313,Normal
"22nm",0.353,-1.321,0.301,-0.451,0.539,Normal
"22nm",0.362,-0.587,0.846,-0.947,0.106,Normal
"22nm",0.416,-0.206,0.848,-0.624,-0.542,Normal
"22nm",0.561,-0.146,0.971,-0.392,-0.704,Normal
"22nm",0.475,-0.241,0.894,-0.532,1.302,Normal
"22nm",0.400,-1.121,1.225,-1.628,-0.038,Normal
"22nm",0.475,-1.574,1.667,1.739,0.644,Normal
"22nm",0.587,-0.208,-1.268,-1.626,-0.698,Normal
"22nm",0.382,-1.207,0.851,-0.874,0.188,Normal
"22nm",0.582,-0.607,2.181,0.674,-1.245,Warning
"22nm",0.385,-0.012,-0.218,-1.227,-0.454,Normal
"22nm",0.354,-0.101,0.841,-0.205,0.151,Normal
"22nm",0.254,-1.054,-0.367,-1.605,-0.206,Normal
"22nm",0.225,-0.978,1.201,-1.442,1.694,Normal
"22nm",0.285,-0.167,1.340,1.804,-0.676,Normal
"22nm",0.472,-1.100,1.183,0.886,0.086,Normal
"22nm",0.281,-0.687,0.950,-0.500,-1.802,Normal
"22nm",0.404,-2.171,1.343,-1.874,-0.907,Warning
"22nm",0.253,-1.115,0.792,0.487,-0.667,Normal
"22nm",0.470,-0.537,1.494,-0.551,-0.544,Normal
"22nm",0.230,0.201,1.820,-0.168,-0.894,Normal
"22nm",0.399,0.764,-0.378,0.188,1.118,Normal
"22nm",0.218,0.817,0.903,1.586,-0.376,Normal
"22nm",0.324,-0.735,-0.807,0.378,-0.588,Normal
"22nm",0.296,0.821,0.674,-0.139,0.465,Normal
"22nm",0.366,-0.257,-0.373,1.472,-1.579,Normal
"22nm",0.303,0.941,-0.535,-0.197,-0.341,Normal
"22nm",0.258,1.041,-0.104,-0.008,1.191,Normal
"22nm",0.410,0.318,-0.971,-1.399,-0.495,Normal
"22nm",0.385,-0.291,0.004,-1.451,0.781,Normal
"22nm",0.407,-0.400,-0.015,2.073,0.290,Warning
"22nm",0.417,-0.107,-1.322,0.136,-1.680,Normal
"22nm",0.237,-1.178,2.062,-1.532,0.107,Warning
"22nm",0.251,0.449,-0.241,0.821,-1.253,Normal
"22nm",0.414,-0.653,-0.346,0.494,-1.448,Normal
"22nm",0.395,0.622,-0.502,-1.186,0.354,Normal
"22nm",0.394,0.602,-0.006,-0.954,-0.211,Normal
"22nm",0.226,-0.771,-0.108,1.379,-0.027,Normal
"22nm",0.339,0.759,0.337,-0.832,1.295,Normal
"22nm",0.293,-0.375,0.224,2.355,-0.342,Warning
"22nm",0.424,-0.402,0.125,0.699,1.032,Normal
"22nm",0.292,0.810,-0.713,-0.305,-1.106,Normal
"22nm",0.338,0.158,-0.098,-0.530,0.026,Normal
"22nm",0.237,-1.457,-1.051,0.224,0.497,Normal
"22nm",0.213,1.047,0.185,0.744,1.763,Normal
"28nm",0.245,-0.703,0.405,-0.514,-0.205,Normal
"28nm",0.150,-0.173,0.582,-0.684,3.562,OOC
"28nm",0.223,-0.256,1.283,0.354,0.143,Normal
"28nm",0.284,-0.979,-1.102,-0.227,-1.102,Normal
"28nm",0.348,-0.303,0.839,0.317,-0.181,Normal
"28nm",0.665,-0.410,-0.616,-1.950,0.470,Normal
"28nm",0.328,0.401,-1.185,1.404,-0.292,Normal
"28nm",0.282,0.020,-1.192,-1.607,-0.553,Normal
"28nm",0.368,0.391,-2.325,-0.164,1.371,Warning
"28nm",0.242,-1.317,-0.449,1.194,-0.794,Normal
"28nm",0.224,-0.819,2.258,0.352,2.004,Warning
"28nm",0.392,0.403,-0.662,-0.904,-1.215,Normal
"28nm",0.270,-0.129,0.494,-0.207,2.032,Warning
"28nm",0.303,-0.185,1.108,-0.637,1.084,Normal
"28nm",0.247,0.099,0.626,0.044,-0.247,Normal
"28nm",0.254,-0.759,-0.404,-0.708,0.741,Normal
"28nm",0.251,-0.255,-0.063,0.142,-1.416,Normal
"28nm",0.242,0.511,0.450,0.718,1.244,Normal
"28nm",0.338,1.079,0.711,-1.690,0.555,Normal
"28nm",0.268,-1.951,-0.822,0.513,1.209,Normal
"28nm",0.398,-0.661,0.441,1.131,-0.305,Normal
"28nm",0.285,0.643,-0.687,-1.244,1.542,Normal
"28nm",0.348,1.701,0.040,0.663,-0.889,Normal
"28nm",0.316,0.243,0.195,0.816,-1.754,Normal
"28nm",0.497,-1.158,1.614,-1.665,-2.162,Warning
"28nm",0.537,-1.220,-0.766,0.165,-1.415,Normal
"28nm",0.197,-1.697,-0.192,-0.132,1.978,Normal
"28nm",0.307,-0.706,0.638,-0.860,-1.827,Normal
"28nm",0.318,-0.690,0.199,-0.704,-0.292,Normal
"28nm",0.232,-0.704,-0.934,-1.145,1.178,Normal
"28nm",0.307,-0.146,1.786,0.764,-0.967,Normal
"28nm",0.370,0.401,-0.643,-1.208,-0.755,Normal
"28nm",0.275,-0.140,0.009,-1.900,-0.727,Normal
"28nm",0.229,0.981,-0.829,-0.799,0.832,Normal
"28nm",0.526,-0.433,1.241,-0.538,0.400,Normal
"28nm",0.266,-0.998,1.446,-0.476,0.207,Normal
"28nm",0.295,-1.397,1.503,-0.745,-1.398,Normal
"28nm",0.375,1.360,0.610,-1.997,-0.044,Normal
"28nm",0.426,-0.404,1.823,0.635,-0.596,Normal
"28nm",0.411,-0.516,-1.002,-0.048,0.768,Normal
"28nm",0.219,-0.764,-0.149,0.052,0.889,Normal
"28nm",0.394,-0.450,0.560,0.511,0.139,Normal
"28nm",0.566,-0.468,-0.690,-0.653,-0.005,Normal
"28nm",0.222,0.832,1.257,-0.161,0.809,Normal
"28nm",0.381,-0.161,1.462,0.515,-0.145,Normal
"28nm",0.306,-1.938,-0.207,-0.211,0.131,Normal
"28nm",0.224,0.235,0.167,-0.833,-2.448,Warning
"28nm",0.446,-0.583,0.205,-2.008,-1.478,Warning
"28nm",0.311,-1.618,0.103,-0.872,0.748,Normal
"28nm",0.512,0.865,0.061,-2.110,1.646,Warning
"28nm",0.401,1.176,0.146,0.119,0.776,Normal
"28nm",0.283,-0.082,1.010,0.727,-2.089,Warning
"28nm",0.439,1.846,-0.478,0.513,0.618,Normal
"28nm",0.483,1.018,0.572,0.430,-0.183,Normal
"28nm",0.410,1.197,-1.051,-0.723,0.304,Normal
"28nm",0.525,1.503,0.190,-0.888,0.463,Normal
"28nm",0.372,2.177,0.047,0.005,-0.556,Warning
"28nm",0.378,2.383,0.603,0.351,0.525,Warning
"28nm",0.449,0.578,0.314,0.279,-0.470,Normal
"28nm",0.607,0.468,0.005,-2.112,-0.314,Warning
"28nm",0.319,-0.208,0.672,-0.052,-0.239,Normal
"28nm",0.370,0.868,0.519,-0.073,0.742,Normal
"28nm",0.268,2.185,-1.397,2.766,-1.667,Warning
"28nm",0.320,1.877,-0.001,1.174,0.147,Normal
"28nm",0.293,1.886,-1.290,-1.090,0.571,Normal
"28nm",0.364,1.583,-0.862,-1.573,-1.663,Normal
"28nm",0.399,1.039,-0.756,0.057,0.639,Normal
"28nm",0.313,0.748,-0.156,-0.873,-1.343,Normal
"28nm",0.266,0.477,-0.452,-1.361,1.005,Normal
"28nm",0.403,0.929,-1.340,2.119,-1.811,Warning
"28nm",0.337,1.503,-0.988,0.773,0.370,Normal
"28nm",0.311,0.343,-0.123,1.290,-1.478,Normal
"28nm",0.365,1.583,-0.495,0.635,0.182,Normal
"28nm",0.347,0.354,1.118,-0.545,0.131,Normal
"28nm",0.309,1.442,0.515,1.643,-0.868,Normal
"28nm",0.298,-0.589,-0.680,0.770,-0.934,Normal
"28nm",0.364,0.390,-0.656,-0.275,-0.121,Normal
"28nm",0.310,0.296,-1.068,-0.700,0.077,Normal
"28nm",0.348,-0.179,-0.381,-0.191,0.214,Normal
"28nm",0.418,-0.063,-1.014,1.767,-1.331,Normal
"28nm",0.292,0.784,0.484,-0.089,0.196,Normal
"28nm",0.274,1.425,-0.243,-0.426,-0.127,Normal
"28nm",0.247,-0.087,0.177,-0.205,-1.705,Normal
"28nm",0.246,0.018,-1.331,-0.415,-1.263,Normal
"28nm",0.443,1.801,-0.307,-1.135,-1.244,Normal
"28nm",0.495,0.857,-0.614,0.074,1.157,Normal
"28nm",0.245,-0.271,-0.783,-1.077,0.977,Normal
"28nm",0.398,-0.121,-0.800,-1.194,-1.328,Normal
"28nm",0.255,1.387,-0.508,1.610,-0.577,Normal
"28nm",0.367,0.203,-0.453,0.099,-0.519,Normal
"28nm",0.394,-0.210,0.182,1.216,-0.628,Normal
"28nm",0.366,1.994,-0.047,-0.962,-0.520,Normal
"28nm",0.416,-0.137,-0.685,3.050,0.628,OOC
"28nm",0.238,0.275,0.349,1.977,0.681,Normal
"28nm",0.410,-0.288,-0.502,-1.531,0.986,Normal
"28nm",0.267,-0.555,-0.639,1.229,-1.396,Normal
"28nm",0.337,0.094,0.204,-1.109,-0.793,Normal
"28nm",0.256,1.320,0.046,-1.113,0.769,Normal
"28nm",0.460,0.987,0.425,-2.307,2.245,Warning
"28nm",0.367,1.105,0.023,0.544,-0.646,Normal
"28nm",0.346,1.747,-0.267,1.760,0.823,Normal
"28nm",0.448,0.058,-1.622,-1.428,0.102,Normal
"28nm",0.400,-2.563,-0.800,-1.228,1.776,Warning
"28nm",0.399,-0.770,-0.828,-1.279,0.517,Normal
"28nm",0.330,-0.915,-1.247,-0.648,-0.157,Normal
"28nm",0.460,-0.878,-0.380,1.247,0.467,Normal
"28nm",0.285,-0.367,-2.885,-0.879,0.090,Warning
"28nm",0.454,-1.137,-2.956,-0.033,-0.809,Warning
"28nm",0.267,-2.445,-1.656,-0.680,1.401,Warning
"28nm",0.320,-1.080,-1.280,-0.292,-1.553,Normal
"28nm",0.462,0.829,0.694,-0.277,-1.908,Normal
"28nm",0.311,-0.404,-0.102,0.196,0.746,Normal
"28nm",0.222,0.097,-0.448,0.365,-0.113,Normal
"28nm",0.374,-0.678,-0.531,0.412,0.701,Normal
"28nm",0.257,0.297,0.315,-0.254,-0.771,Normal
"28nm",0.424,-1.047,-0.259,0.098,0.063,Normal
"28nm",0.328,1.413,-0.793,-0.339,0.379,Normal
"28nm",0.364,-1.436,-0.650,1.647,-0.594,Normal
"28nm",0.267,-0.376,0.490,0.643,-0.698,Normal
"28nm",0.208,-1.636,-0.980,-1.395,1.588,Normal
"28nm",0.222,-0.953,-0.670,-0.077,1.179,Normal
"28nm",0.347,1.325,-0.291,0.221,1.435,Normal
"28nm",0.333,-0.428,-0.815,1.861,1.474,Normal
"28nm",0.229,-0.327,-1.966,1.030,0.162,Normal
"28nm",0.353,-1.106,-0.147,0.291,-0.190,Normal
"28nm",0.340,0.725,-0.730,0.427,-1.794,Normal
"28nm",0.250,0.318,1.323,2.581,0.604,Warning
"28nm",0.446,-0.479,1.517,0.155,-1.587,Normal
"28nm",0.290,-2.613,1.381,0.188,0.582,Warning
"28nm",0.240,-0.481,-0.423,-0.113,-0.488,Normal
"28nm",0.239,-1.684,-0.709,0.833,0.300,Normal
"28nm",0.344,-1.823,1.513,0.020,-1.177,Normal
"28nm",0.432,-0.780,-1.008,-0.010,0.337,Normal
"28nm",0.473,-1.081,-0.342,-0.829,0.968,Normal
"28nm",0.410,1.435,0.219,0.128,0.210,Normal
"28nm",0.282,-0.659,0.089,0.204,1.099,Normal
"28nm",0.217,-1.437,2.063,0.913,-0.744,Warning
"28nm",0.433,-1.858,2.619,-1.811,-0.335,Warning
"28nm",0.323,-2.308,0.176,0.760,-1.139,Warning
"28nm",0.403,-1.462,-2.243,0.127,1.432,Warning
"28nm",0.413,0.180,0.009,-0.971,1.023,Normal
"28nm",0.231,-0.523,0.846,1.630,-0.451,Normal
"28nm",0.258,0.099,-0.168,0.092,-0.298,Normal
"28nm",0.312,-0.706,-0.206,-0.221,1.299,Normal
"28nm",0.462,0.082,1.687,-1.146,-0.252,Normal
"28nm",0.315,-2.905,0.160,0.173,-0.558,Warning
"28nm",0.271,0.186,-0.317,0.491,0.531,Normal
"28nm",0.316,-0.830,0.794,1.856,0.630,Normal
"28nm",0.358,0.722,1.654,0.474,0.578,Normal
"28nm",0.348,-1.657,-0.292,-0.231,0.418,Normal
"28nm",0.384,0.507,-0.598,-0.033,0.555,Normal
"28nm",0.474,-0.828,0.392,0.229,1.692,Normal
"28nm",0.362,2.495,0.292,1.208,-0.455,Warning
"28nm",0.235,-1.445,0.006,1.370,-0.349,Normal
"28nm",0.245,-0.873,-0.059,1.337,0.768,Normal
"28nm",0.394,1.112,0.778,-0.504,-0.518,Normal
"28nm",0.593,-0.387,0.505,-0.245,1.147,Normal
"28nm",0.347,-0.977,0.485,-0.514,-0.070,Normal
"28nm",0.376,-0.917,-0.139,-0.349,0.397,Normal
"28nm",0.255,-1.602,0.812,-0.171,-0.162,Normal
"28nm",0.404,-1.399,1.043,-1.589,0.612,Normal
"28nm",0.353,-0.388,2.406,0.024,1.103,Warning
"28nm",0.297,-0.795,1.165,1.609,1.875,Normal
"28nm",0.500,-0.403,0.266,-1.473,0.838,Normal
"28nm",0.355,0.149,1.610,-1.463,0.694,Normal
"28nm",0.432,0.691,2.270,-0.743,-0.334,Warning
"28nm",0.393,0.347,0.963,1.065,1.638,Normal
"28nm",0.396,0.317,0.006,0.623,-0.609,Normal
"28nm",0.379,-0.727,1.360,-2.008,-0.143,Warning
"28nm",0.421,-1.389,-0.375,-0.377,-0.983,Normal
"28nm",0.442,-0.641,-0.856,-0.696,-0.674,Normal
"28nm",0.270,-0.388,2.502,-0.873,-0.382,Warning
"28nm",0.515,-0.410,-0.981,-0.629,1.097,Normal
"28nm",0.430,-1.177,0.212,-0.650,-0.461,Normal
"28nm",0.293,-0.304,2.179,-1.650,0.348,Warning
"28nm",0.412,0.903,-0.473,1.430,-1.269,Normal
"28nm",0.392,-0.694,1.913,0.077,-0.357,Normal
"28nm",0.266,0.243,0.103,-0.582,-0.864,Normal
"28nm",0.252,-0.167,-1.463,0.409,2.430,Warning
"28nm",0.385,-0.087,-0.169,1.150,0.865,Normal
"28nm",0.465,-0.004,1.453,1.014,-1.046,Normal
"28nm",0.304,-0.104,0.631,0.378,0.922,Normal
"28nm",0.359,1.476,-0.023,0.806,-0.223,Normal
"28nm",0.342,1.643,1.842,-1.469,0.871,Normal
"28nm",0.298,1.366,0.459,-0.372,-1.492,Normal
"28nm",0.372,-0.950,1.527,0.223,-0.434,Normal
"28nm",0.318,-0.782,0.634,-0.547,-1.077,Normal
"28nm",0.258,-0.103,-0.053,0.886,1.151,Normal
"28nm",0.297,-0.690,1.225,-0.805,0.369,Normal
"28nm",0.298,-3.067,1.076,0.126,-1.548,OOC
"28nm",0.404,0.791,-0.735,0.107,-0.408,Normal
"28nm",0.351,-0.936,0.569,0.700,-0.909,Normal
"28nm",0.358,0.193,-0.364,1.520,1.085,Normal
"28nm",0.242,-0.562,1.125,0.001,-0.965,Normal
"28nm",0.268,-0.279,0.013,0.032,1.753,Normal
"28nm",0.402,0.119,-1.328,-0.317,-0.241,Normal
"28nm",0.289,0.578,-1.025,0.611,1.577,Normal
"28nm",0.242,-0.244,0.620,2.177,0.111,Warning
"28nm",0.459,-0.018,-0.488,-0.520,0.496,Normal
"28nm",0.441,-0.401,1.166,-0.968,-0.330,Normal
"28nm",0.376,0.827,-1.367,-0.269,-0.088,Normal
"28nm",0.285,0.499,-1.835,-0.073,-1.190,Normal
"28nm",0.346,-0.038,-1.077,-0.199,0.018,Normal
"28nm",0.253,-0.413,-0.046,-0.126,-0.090,Normal
"28nm",0.404,-1.504,-2.181,-0.056,-0.242,Warning
"28nm",0.312,-0.991,-1.875,1.359,-0.459,Normal
"28nm",0.214,-0.200,1.002,-0.628,0.163,Normal
"28nm",0.247,-0.904,-0.988,0.084,-0.756,Normal
"28nm",0.464,0.224,-0.359,-0.548,-0.162,Normal
"28nm",0.409,0.522,-1.481,-1.981,1.945,Normal
"28nm",0.369,-0.388,-1.728,1.421,1.200,Normal
"28nm",0.277,-0.303,-1.975,0.778,-0.319,Normal
"28nm",0.310,0.597,-0.229,0.751,-0.423,Normal
"28nm",0.245,0.360,0.543,1.867,-0.835,Normal
"28nm",0.221,-0.859,-0.366,0.310,-0.641,Normal
"28nm",0.279,1.918,-0.749,-1.044,0.461,Normal
"28nm",0.389,0.670,0.434,-0.943,1.415,Normal
"28nm",0.269,0.429,-0.117,1.324,0.591,Normal
"28nm",0.285,0.099,-0.210,-0.619,1.476,Normal
"28nm",0.349,0.741,-1.536,1.203,-0.316,Normal
"28nm",0.230,0.492,0.094,-1.151,2.013,Warning
"28nm",0.358,-0.192,-0.842,0.294,0.121,Normal
"28nm",0.360,-0.436,-0.419,1.390,0.527,Normal
"28nm",0.367,1.738,-0.304,0.184,0.447,Normal
"28nm",0.230,0.634,-0.795,0.881,0.957,Normal
"28nm",0.420,0.028,0.551,0.714,-0.186,Normal
"28nm",0.397,-0.525,-0.237,-0.356,-0.609,Normal
"28nm",0.351,-0.621,2.042,-1.797,0.483,Warning
"28nm",0.334,-0.941,-0.751,0.054,0.218,Normal
"28nm",0.325,-0.807,1.410,0.304,0.750,Normal
"28nm",0.442,-0.257,0.164,0.112,-1.638,Normal
"28nm",0.453,-0.549,0.119,-0.360,0.242,Normal
"28nm",0.228,-0.790,-1.364,-0.929,0.004,Normal
"28nm",0.518,-0.626,0.362,-0.291,-2.448,Warning
"28nm",0.447,-0.605,0.348,0.311,-0.752,Normal
"28nm",0.501,-0.685,-0.398,-0.501,-0.736,Normal
"28nm",0.427,-0.325,0.944,0.065,-0.615,Normal
"28nm",0.362,-1.097,-0.079,1.063,1.104,Normal
"28nm",0.412,0.035,1.901,0.377,-0.718,Normal
"28nm",0.290,0.091,1.014,0.853,0.209,Normal
"28nm",0.259,1.051,1.405,0.392,1.221,Normal
"28nm",0.388,-0.302,0.610,-0.444,-1.115,Normal
"28nm",0.380,0.711,-0.167,0.641,-0.015,Normal
"28nm",0.356,-0.779,-0.311,-0.541,0.043,Normal
"28nm",0.277,-0.673,0.421,-1.457,0.576,Normal
"28nm",0.468,-0.251,-0.839,1.195,-2.282,Warning
"28nm",0.343,-1.875,1.714,1.612,-0.139,Normal
"28nm",0.357,-0.794,0.164,1.321,1.099,Normal
"28nm",0.333,0.469,-0.429,-0.315,0.767,Normal
"28nm",0.381,-0.603,-0.089,0.874,-0.749,Normal
"28nm",0.327,-0.535,-0.012,-1.204,-0.369,Normal
"28nm",0.246,0.002,0.651,-0.816,0.773,Normal
"28nm",0.207,-0.063,-1.189,0.104,0.097,Normal
"28nm",0.291,0.390,-0.395,0.583,-2.538,Warning
"28nm",0.722,1.743,0.463,-2.081,0.170,Warning
"28nm",0.250,0.540,0.956,-0.026,0.312,Normal
"28nm",0.256,0.091,1.091,-1.869,-0.683,Normal
"28nm",0.316,-0.135,-0.547,1.141,2.027,Warning
"28nm",0.346,0.587,-1.013,0.202,-1.476,Normal
"28nm",0.316,0.928,0.074,2.079,-0.376,Warning
"28nm",0.228,-0.238,-1.567,0.674,1.967,Normal
"28nm",0.474,0.816,-1.297,-0.238,-0.055,Normal
"28nm",0.370,-0.638,-0.762,0.473,-1.148,Normal
"28nm",0.306,0.135,0.292,0.832,0.401,Normal
"28nm",0.418,0.820,0.236,0.509,0.461,Normal
"28nm",0.251,0.188,1.137,0.123,-0.293,Normal
"28nm",0.240,0.507,-0.251,1.111,-0.153,Normal
"28nm",0.279,1.691,0.809,0.910,0.120,Normal
"28nm",0.423,0.116,-1.726,-0.650,-1.371,Normal
"28nm",0.507,1.646,-0.476,-0.849,-0.138,Normal
"28nm",0.305,-0.701,0.904,-0.277,-0.343,Normal
"28nm",0.280,-1.327,-1.004,-1.394,1.062,Normal
"28nm",0.350,-0.233,2.008,0.465,0.708,Warning
"28nm",0.435,1.532,-1.554,-1.566,-0.719,Normal
"28nm",0.232,0.160,0.839,1.456,0.117,Normal
"28nm",0.266,0.651,0.196,0.382,-1.108,Normal
"28nm",0.395,0.962,0.679,0.686,0.970,Normal
"28nm",0.378,0.503,-0.563,-0.499,-0.104,Normal
"28nm",0.368,1.214,0.808,0.726,-0.950,Normal
"28nm",0.477,0.799,-1.216,-0.499,-1.522,Normal
"28nm",0.247,0.167,-0.488,-0.115,1.366,Normal
"28nm",0.420,0.402,0.843,-0.999,0.766,Normal
"28nm",0.387,2.541,-0.507,2.058,-0.425,Warning
"28nm",0.432,1.038,0.905,0.312,-0.370,Normal
"28nm",0.309,0.587,-0.854,0.560,-0.969,Normal
"28nm",0.432,0.899,0.036,-1.559,0.845,Normal
"28nm",0.255,0.930,0.843,0.936,-0.324,Normal
"28nm",0.378,0.581,0.974,0.813,-1.176,Normal
"28nm",0.351,1.099,-0.768,-1.345,0.520,Normal
"28nm",0.396,1.130,-1.025,-0.944,-0.952,Normal
"28nm",0.345,-0.353,1.797,0.995,-0.672,Normal
"28nm",0.354,-0.045,-1.042,0.353,-1.276,Normal
"28nm",0.205,0.595,-2.703,0.421,-1.003,Warning
"28nm",0.356,0.439,-0.237,-1.658,-0.115,Normal
"28nm",0.274,2.172,1.066,0.504,0.566,Warning
"28nm",0.401,0.670,-0.045,-0.120,-0.046,Normal
"28nm",0.312,1.654,0.610,-0.081,1.390,Normal
"28nm",0.246,0.284,0.463,-0.465,-0.695,Normal
"28nm",0.376,0.741,0.579,1.617,-1.112,Normal
"28nm",0.225,-1.341,1.160,0.994,0.877,Normal
