"technology_node","lot_id","wafer_id","etch_rate","deposition_rate","critical_dimension","oxide_thickness","yield","er_flag","dr_flag","cd_flag","ot_flag"
"10nm",LOT_0032,W025,3.54,1.89,21.58,56.76,0.60,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W004,3.67,1.60,21.26,59.29,0.60,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W019,3.66,1.85,21.22,55.59,0.61,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W011,3.64,1.93,22.60,57.63,0.61,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W022,3.64,1.90,21.68,54.07,0.61,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W012,3.57,1.94,20.37,57.20,0.61,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W022,3.64,1.82,22.28,56.26,0.61,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W014,3.63,2.12,21.54,52.13,0.61,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W024,3.65,1.82,20.92,53.60,0.61,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W009,3.64,1.96,22.61,54.91,0.61,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W001,3.64,1.97,20.76,56.11,0.61,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W017,3.72,1.93,23.23,53.63,0.62,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W022,3.54,2.01,22.00,57.13,0.62,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W022,3.56,2.05,21.11,51.80,0.62,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W004,3.55,1.87,22.01,57.25,0.62,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W010,3.62,1.92,22.70,54.76,0.62,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W016,3.69,2.08,23.18,57.33,0.62,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W004,3.64,1.81,22.41,56.12,0.62,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W005,3.63,1.93,21.66,54.95,0.63,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W007,3.59,1.68,23.53,58.08,0.63,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W003,3.61,1.81,22.96,53.64,0.63,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W006,3.67,1.93,22.15,53.52,0.63,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W024,3.63,1.84,21.75,54.13,0.63,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W012,3.72,1.79,21.76,54.21,0.63,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W012,3.63,1.85,23.64,59.59,0.63,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W007,3.56,1.70,21.24,59.21,0.63,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W001,3.53,1.92,22.44,56.56,0.63,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W011,3.76,1.89,21.03,55.33,0.63,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W022,3.65,1.74,21.44,53.36,0.64,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W012,3.56,1.86,23.30,55.37,0.64,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W001,3.60,2.08,21.51,60.01,0.64,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W015,3.63,1.90,23.24,57.45,0.64,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W003,3.65,1.94,22.65,54.96,0.64,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W023,3.60,1.84,21.42,52.19,0.64,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W002,3.51,1.93,21.18,54.32,0.64,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W019,3.83,1.87,20.44,51.70,0.64,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W025,3.66,1.70,22.63,54.14,0.65,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W025,3.63,2.05,23.09,60.92,0.65,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0001,W011,3.53,2.03,20.59,56.29,0.65,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W004,3.53,1.97,19.71,55.90,0.65,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W019,3.61,1.92,22.35,55.62,0.65,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W011,3.62,2.03,20.68,51.80,0.65,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W020,3.79,1.91,22.64,53.07,0.65,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W003,3.46,1.98,22.17,56.27,0.65,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W024,3.82,1.90,22.16,51.23,0.65,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W002,3.66,1.90,23.17,51.43,0.65,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W023,3.56,2.07,21.53,54.40,0.65,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W003,3.55,1.89,22.51,54.83,0.65,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W010,3.55,1.99,21.81,56.85,0.66,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W017,3.67,1.87,20.45,56.09,0.66,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W021,3.61,1.73,23.93,58.31,0.66,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W006,3.65,1.93,23.06,54.32,0.66,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W010,3.75,1.71,22.28,53.99,0.66,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W002,3.74,2.00,23.81,57.74,0.66,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W019,3.64,1.79,23.31,54.22,0.66,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W016,3.64,1.84,21.76,55.64,0.66,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W006,3.71,1.85,23.31,54.64,0.66,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W010,3.47,1.97,21.54,57.87,0.66,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W010,3.51,2.06,23.96,50.56,0.66,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W013,3.73,2.04,21.78,57.91,0.67,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W018,3.58,2.03,22.04,56.58,0.67,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W019,3.56,1.84,20.54,57.99,0.67,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W025,3.73,1.82,22.70,54.61,0.67,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W013,3.55,1.98,23.55,58.91,0.67,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W010,3.65,1.95,23.31,51.17,0.67,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W020,3.53,1.85,22.86,57.43,0.67,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W020,3.40,2.04,22.61,54.71,0.67,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W021,3.65,1.96,18.36,57.06,0.67,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"10nm",LOT_0027,W007,3.61,1.89,23.18,53.37,0.67,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W013,3.61,1.98,20.69,53.55,0.67,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W008,3.50,2.05,17.71,51.93,0.67,IN_CONTROL,IN_CONTROL,OOC,IN_CONTROL
"10nm",LOT_0015,W019,3.65,1.80,21.39,55.04,0.67,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W001,3.56,2.15,21.30,55.60,0.68,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W015,3.55,1.93,21.72,56.48,0.68,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W017,3.62,2.00,20.18,57.90,0.68,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W002,3.48,2.21,22.93,57.82,0.68,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W023,3.62,1.90,21.64,50.83,0.68,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W008,3.54,1.97,22.87,59.39,0.68,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W012,3.48,1.67,21.63,56.45,0.68,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W022,3.75,1.88,22.05,60.05,0.68,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W021,3.67,1.99,21.23,53.47,0.68,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W009,3.89,2.05,23.90,54.46,0.68,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W005,3.56,1.89,19.77,56.52,0.69,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W016,3.56,1.97,20.00,51.23,0.69,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W021,3.62,2.11,22.37,59.00,0.69,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W006,3.50,2.03,21.80,57.71,0.69,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W025,3.57,1.83,20.38,59.22,0.69,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W008,3.58,1.85,22.48,55.82,0.69,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W016,3.54,1.76,22.60,56.62,0.70,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W015,3.62,1.90,23.73,55.17,0.70,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W001,3.73,1.96,20.73,58.43,0.70,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W016,3.63,1.96,20.64,55.33,0.70,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W011,3.81,2.09,21.49,56.99,0.70,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W010,3.59,1.89,19.13,55.99,0.71,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"10nm",LOT_0015,W005,3.60,1.89,23.44,50.51,0.71,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W007,3.67,1.97,20.18,51.67,0.71,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W003,3.79,1.92,20.34,56.57,0.72,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W005,3.68,1.69,21.04,57.98,0.72,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W015,3.72,1.91,21.82,52.43,0.72,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W023,3.43,1.81,23.73,56.89,0.72,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W025,3.51,1.88,22.09,57.37,0.72,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W013,3.57,1.93,22.51,54.16,0.72,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W016,3.48,2.05,19.32,51.95,0.72,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W004,3.61,1.97,21.91,56.25,0.73,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W024,3.67,1.94,22.83,54.28,0.73,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W008,3.62,1.90,21.67,52.06,0.73,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W002,3.63,1.85,22.68,53.69,0.73,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W004,3.31,1.90,20.36,53.12,0.73,OOC,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W013,3.52,1.92,23.30,52.00,0.74,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W009,3.65,1.94,22.97,58.65,0.74,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W001,3.68,2.04,21.67,53.72,0.74,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W021,3.38,1.99,21.79,55.30,0.75,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W018,3.59,1.89,22.09,55.51,0.75,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W003,3.66,2.05,23.17,55.05,0.75,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W025,3.56,1.86,20.72,57.16,0.75,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W009,3.72,1.95,21.24,54.57,0.76,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W004,3.72,1.74,21.17,57.97,0.76,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W022,3.46,2.01,21.35,54.14,0.76,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W005,3.58,2.08,20.50,54.29,0.76,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W018,3.55,2.17,21.67,53.47,0.76,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W003,3.50,1.87,21.31,57.70,0.76,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W015,3.54,2.07,19.67,59.36,0.76,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W013,3.46,1.95,20.16,55.09,0.76,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W010,3.58,1.96,20.95,55.61,0.76,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W013,3.59,1.77,20.99,51.14,0.77,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W017,3.77,1.89,22.83,54.65,0.77,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W002,3.67,1.89,22.43,53.48,0.77,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W007,3.41,1.88,23.28,60.30,0.77,WARNING,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0003,W007,3.47,2.01,23.58,57.76,0.77,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W004,3.63,1.78,22.85,53.18,0.78,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W003,3.41,1.84,19.36,55.81,0.78,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0018,W015,3.67,1.91,23.43,52.53,0.78,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W002,3.41,1.94,20.47,54.60,0.78,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W008,3.56,1.77,20.18,51.63,0.78,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0050,W024,3.77,1.76,22.24,56.43,0.78,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W019,3.75,1.78,23.17,56.67,0.78,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W006,3.53,1.97,20.38,58.44,0.79,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0042,W017,3.73,1.95,20.08,52.20,0.79,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W020,3.64,1.69,21.00,52.71,0.79,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W017,3.56,1.67,22.43,54.90,0.79,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W012,3.45,1.96,20.59,55.62,0.79,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W011,3.66,1.92,19.80,58.29,0.80,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W006,3.65,1.98,21.04,55.54,0.80,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W015,3.62,2.00,20.00,50.41,0.80,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W013,3.55,1.84,22.21,57.69,0.81,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W014,3.59,1.86,20.06,54.74,0.81,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0033,W009,3.67,1.97,23.35,53.20,0.82,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W017,3.42,1.91,21.98,55.74,0.82,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0044,W018,3.63,2.00,23.81,56.33,0.82,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W010,3.48,1.95,21.57,57.99,0.83,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W009,3.47,2.05,21.59,56.13,0.83,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W011,3.46,1.98,21.97,53.18,0.83,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0035,W009,3.67,1.97,22.89,61.12,0.83,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0001,W024,3.46,1.99,20.90,56.45,0.84,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W023,3.74,2.02,20.53,55.31,0.84,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W012,3.57,1.97,20.91,55.93,0.84,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0008,W016,3.61,1.92,22.78,55.80,0.85,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W012,3.63,1.85,23.76,53.07,0.85,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W011,3.53,1.99,21.36,55.31,0.85,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W021,3.68,2.11,23.08,57.49,0.85,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W012,3.48,1.81,21.46,52.16,0.87,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W016,3.69,1.90,23.09,52.55,0.88,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0038,W022,3.51,1.98,21.70,58.34,0.88,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W006,3.51,1.71,18.67,55.88,0.88,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"10nm",LOT_0035,W004,3.56,1.86,20.63,51.98,0.89,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W009,3.54,1.89,22.62,57.06,0.89,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0003,W016,3.59,2.05,20.45,58.28,0.90,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W005,3.54,1.92,19.82,54.52,0.91,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0032,W015,3.61,2.14,20.05,56.07,0.91,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W023,3.61,1.91,21.75,57.61,0.91,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W007,3.52,2.13,21.15,55.25,0.92,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0017,W008,3.67,1.84,20.63,54.96,0.93,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W005,3.53,2.14,22.49,53.68,0.94,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0001,W015,3.61,2.00,20.14,60.33,0.94,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0003,W008,3.46,2.03,23.08,56.59,0.94,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W021,3.51,1.74,23.45,56.80,0.94,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W004,3.59,1.90,23.62,49.58,0.95,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"10nm",LOT_0018,W014,3.62,2.09,21.70,53.91,0.96,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0027,W010,3.62,1.98,23.55,57.89,0.97,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0010,W025,3.48,1.93,22.17,57.14,0.98,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"10nm",LOT_0015,W008,3.54,2.02,21.58,54.99,0.98,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W002,3.63,1.86,25.34,65.60,0.15,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W001,3.59,1.90,31.72,65.66,0.15,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W003,3.65,1.67,30.63,66.62,0.16,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"14nm",LOT_0021,W015,3.57,1.92,25.75,67.51,0.18,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"14nm",LOT_0029,W009,3.75,1.97,31.37,66.44,0.18,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W002,3.78,1.72,32.39,57.17,0.18,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"14nm",LOT_0043,W003,3.69,1.75,27.43,60.93,0.19,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0021,W010,3.65,2.02,28.22,65.21,0.19,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W017,3.80,1.82,26.97,64.12,0.20,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W013,3.67,1.91,29.62,67.44,0.20,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"14nm",LOT_0043,W021,3.66,1.97,29.60,56.73,0.21,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W008,3.66,1.78,30.99,55.30,0.21,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W017,3.53,1.90,27.84,62.40,0.21,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0013,W013,3.71,1.94,29.37,61.77,0.22,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W019,3.65,1.80,31.00,58.57,0.22,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W024,3.58,1.74,27.46,64.88,0.22,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
